cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
256,1,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.0012,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,27.7%,8.9927,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_reduce_mfma32k64_bnt2,0.3%,25.9939,0,0,0,3.81,121986.9,
256,2,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.3742,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,14.5%,10.5002,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_reduce_mfma32k64_bnt2,0.4%,30.8744,0,0,0,6.42,102704.4,
256,4,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,28.2435,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,13.6171,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_reduce_mfma32k64_bnt2,24.9%,41.8606,0,0,0,9.47,75750.94,
256,8,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,31.0065,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,18.6133,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_reduce_mfma32k64_bnt2,37.2%,49.6198,0,0,0,15.98,63907.27,
256,16,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,45.6916,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,28.9884,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_mfma32k64_bnt2,0.3%,74.68,0,0,0,21.23,42464.35,
256,32,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,74.11410000000001,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,44.8703,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_mfma32k64_bnt2,0.3%,118.9844,0,0,0,26.65,26655.44,
256,64,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,113.6699,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,67.4225,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_mfma32k64,0.3%,181.0924,0,0,0,35.02,17517.41,
256,128,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,156.1767,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,96.7039,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_mfma32k64_bnt2,0.3%,252.8806,0,0,0,50.16,12549.98,
256,256,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,176.6445,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,110.2176,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_mfma32k64_bnt2,0.3%,286.8621,0,0,0,88.43,11072.91,
256,512,7168,384,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,181.0315,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,120.5081,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_mfma32k64_bnt2,0.3%,301.5396,0,0,0,168.25,10552.19,
