cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
80,1,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,16.719069999999803,fused_moe_asmjit_aot__16_True_False_False,1.44%,0.0,,0%,16.719069999999803,1,2.54,27235.75,
80,2,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,32.29851515151523,fused_moe_asmjit_aot__16_True_False_False,2.51%,0.0,,0%,32.29851515151523,1,2.63,14098.75,
80,4,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,44.50072999999973,fused_moe_asmjit_aot__16_True_False_False,2.62%,0.0,,0%,44.50072999999973,1,3.82,10233.39,
80,8,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,64.08810000000008,fused_moe_asmjit_aot__16_True_False_False,2.25%,0.0,,0%,64.08810000000008,1,5.3,7106.51,
80,16,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,100.66056000000006,fused_moe_asmjit_aot__16_True_False_False,2.58%,0.0,,0%,100.66056000000006,1,6.75,4525.51,
80,32,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,139.03901999999974,fused_moe_asmjit_aot__16_True_False_False,2.94%,0.0,,0%,139.03901999999974,1,9.77,3277.77,
80,64,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,153.07161728395076,fused_moe_asmjit_aot__16_True_False_False,3.12%,0.0,,0%,153.07161728395076,1,17.76,2979.85,
80,128,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,184.49943999999982,fused_moe_asmjit_aot__16_True_False_False,2.83%,0.0,,0%,184.49943999999982,1,29.46,2476.52,
80,256,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,243.88410204081669,fused_moe_asmjit_aot__64_True_True_False,2.87%,0.0,,0%,243.88410204081669,1,44.58,1879.95,
80,512,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,266.3066326530618,fused_moe_asmjit_aot__64_True_True_False,2.49%,0.0,,0%,266.3066326530618,1,81.65,1733.47,
80,1024,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,318.0927368421042,fused_moe_asmjit_aot__64_True_True_False,2.31%,0.0,,0%,318.0927368421042,1,136.71,1471.04,
80,2048,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,610.8608350515469,fused_moe_asmjit_aot__128_True_True_False,1.97%,0.0,,0%,610.8608350515469,1,142.38,786.61,
80,4096,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,1072.7305937500028,fused_moe_asmjit_aot__64_True_True_False,2.08%,0.0,,0%,1072.7305937500028,1,162.15,471.39,
80,8192,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,1910.600353535349,fused_moe_asmjit_aot__128_True_True_False,2.13%,0.0,,0%,1910.600353535349,1,182.09,291.01,
80,16384,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,3596.3608989899008,fused_moe_asmjit_aot__64_True_True_False,2.15%,0.0,,0%,3596.3608989899008,1,193.47,182.59,
80,32768,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,7046.182145833326,fused_moe_asmjit_aot__64_True_True_False,2.17%,0.0,,0%,7046.182145833326,1,197.49,121.77,
80,65536,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,14022.089414893613,fused_moe_asmjit_aot__64_True_True_False,2.23%,0.0,,0%,14022.089414893613,1,198.48,89.9,
80,131072,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,16,0,28242.82702298848,fused_moe_asmjit_aot__64_True_True_False,2.22%,0.0,,0%,28242.82702298848,1,197.09,73.15,
