cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,q_dtype_a2,q_dtype_w2,q_type2,block_m,block_m2,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
80,1,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,23.3304,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_kb8_n16_red,0.0%,17.5477,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce,0.0%,40.8781,0,1.04,11139.37,
80,2,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,26.6728,flydsl_moe1_direct_afp8_wfp8_bf16_t16x16x64_kb8_red,0.0%,19.9243,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w4,0.0%,46.5971,0,1.82,9772.47,
80,4,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,36.072,flydsl_moe1_direct_afp8_wfp8_bf16_t16x16x128_kb8_red,0.0%,25.3214,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce,0.0%,61.3934,0,2.77,7417.63,
80,8,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,45.6032,flydsl_moe1_direct_afp8_wfp8_bf16_t16x32x256_nw2,0.0%,35.5847,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w1,0.0%,81.1879,0,4.18,5609.73,
80,16,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,67.971,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_kb2_n16_red,0.0%,49.5876,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w4,0.0%,117.5586,0,5.78,3875.01,
80,32,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,97.7806,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_kb2_n16_red,0.0%,65.7431,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w4,0.0%,184.959,0,8.31,2786.98,
80,64,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,106.9219,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_kb2_n16_red,0.0%,77.9571,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w3,0.0%,212.977,0,14.7,2467.18,
80,128,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,116.1855,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_n16,0.0%,86.2009,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w1,0.0%,202.3864,0,26.86,2257.65,
80,256,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,16,16,0,131.7241,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w4_bnt0,0.0%,105.0972,flydsl_moe2_afp8_wfp8_bf16_t16x64x64_reduce_w4,0.0%,236.8213,0,45.91,1936.02,
80,512,4096,192,193,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,1,0,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_Tensor,32,32,0,163.4875,flydsl_moe1_afp8_wfp8_bf16_t32x64x256,0.0%,144.5735,flydsl_moe2_afp8_wfp8_bf16_t32x256x64_reduce_bnt0,0.0%,308.061,0,70.58,1498.52,
