cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,q_dtype_a2,q_dtype_w2,q_type2,block_m,block_m2,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,active_expert,_tag
256,4096,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,128,128,0,351.9107,flydsl_moe1_afp8_wfp8_bf16_t128x128x128_w1_bp2_xp2,0.0%,262.9931,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic_async_w4_bp4_xp4,0.5%,614.9038,0,733.4,4368.9,384,
256,16384,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,64,128,0,890.9955,flydsl_moe1_afp8_wfp8_bf16_t64x128x128_bnt0_xp3_skmfocus_skw512,0.0%,817.5747,flydsl_moe2_afp8_wfp8_bf16_t128x128x128_atomic_async_w2_bnt0,0.5%,1708.5702,0,1055.79,1649.67,384,
256,1,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,12.684,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_w2_rgx_bp3_xp3,0.0%,9.1145,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_w3_roff_bp3_xp3,0.5%,21.7985,0,5.05,2525.91,8,
256,2,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,15.2026,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_bp4_xp4,0.0%,13.324,flydsl_moe2_afp8_wfp8_bf16_t32x256x128_atomic_w4_roff_bp2_xp2,0.5%,28.5266,0,7.72,3860.33,16,
256,4,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,25.8875,flydsl_moe1_afp8_wfp8_bf16_t32x128x128_w4_mfma16k32_bp3_xp3,0.0%,18.8902,flydsl_moe2_afp8_wfp8_bf16_t32x256x64_atomic_roff_xp3,0.5%,44.7777,0,9.84,4764.93,31,
256,8,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,45.4787,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_w4_mfma16k32_bp2,0.0%,27.923,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_w2_roff_xp5,0.5%,73.4017,0,12.0,5438.57,58,
256,16,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,79.8791,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_bp4_xp4,0.0%,45.5671,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_w2_roff_bp2_xp2,0.5%,125.4462,0,14.04,6199.92,113,
256,32,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,128.1247,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_xp5,0.0%,68.3838,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_w4_roff_bp3_xp3,0.5%,196.5085,0,17.93,6515.05,186,
256,64,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,193.8769,flydsl_moe1_afp8_wfp8_bf16_t32x64x128_w4_bp5_xp5,0.0%,102.1884,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_w3_mfma16k32_roff_bp4_xp4,0.5%,296.0653,0,23.8,6603.18,284,
256,128,3584,640,384,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,32,32,0,246.1104,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_bp5_xp5,0.0%,127.8984,flydsl_moe2_afp8_wfp8_bf16_t32x128x128_atomic_roff_bp2_xp2,0.5%,374.0088,0,37.68,6627.22,360,
