cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
80,1,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,39.509,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2.co,0.0%,8.595,moe_blk_stage2_bf16_d6144x256_e256k8_t16x128x128_w2.co,0.0%,81.183,0,0.93,14879.69,moe_blk_co
80,2,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,37.387,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2.co,0.0%,11.492,moe_blk_stage2_bf16_d6144x256_e256k8_t16x256x128_w2.co,0.0%,83.798,0,1.8,14415.58,moe_blk_co
80,4,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,41.585,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2.co,0.0%,18.515,moe_blk_stage2_bf16_d6144x256_e256k8_t16x256x128_w2.co,0.0%,66.446,0,4.54,18180.68,moe_blk_co
80,8,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,72.932,moe_blk_stage1_bf16_d6144x256_e256k8_t32x64x128_w2.co,0.0%,47.5,moe_blk_stage2_bf16_d6144x256_e256k8_t32x256x128_w2.co,0.0%,128.423,0,4.7,9407.25,moe_blk_co
80,16,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,106.092,moe_blk_stage1_bf16_d6144x256_e256k8_t16x128x128_w2.co,0.0%,57.231,moe_blk_stage2_bf16_d6144x256_e256k8_t16x256x128_w2.co,0.0%,205.581,0,5.88,5877.27,moe_blk_co
80,32,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,166.65,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2.co,0.0%,91.305,moe_blk_stage2_bf16_d6144x256_e256k8_t16x256x128_w2.co,0.0%,297.078,0,8.13,4068.12,moe_blk_co
80,64,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,206.615,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2.co,0.0%,130.372,moe_blk_stage2_bf16_d6144x256_e256k8_t16x256x128_w2.co,0.0%,365.672,0,13.21,3306.62,moe_blk_co
80,128,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,333.9,moe_blk_stage1_bf16_d6144x256_e256k8_t32x64x128_w2.co,0.0%,220.263,moe_blk_stage2_bf16_d6144x256_e256k8_t32x256x128_w2.co,0.0%,557.34,0,17.34,2171.6,moe_blk_co
80,256,6144,256,256,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,336.729,moe_blk_stage1_bf16_d6144x256_e256k8_t32x64x128_w2.co,0.0%,229.219,moe_blk_stage2_bf16_d6144x256_e256k8_t32x256x128_w2.co,0.0%,569.64,0,33.93,2128.85,moe_blk_co
80,1,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,39.578,moe_blk_stage1_bf16_d6144x256_e257k9_t16x64x128_w2.co,0.0%,8.66,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,0.0%,79.065,0,1.07,15337.97,moe_blk_co
80,2,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,36.98,moe_blk_stage1_bf16_d6144x256_e257k9_t16x64x128_w2.co,0.0%,13.536,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,0.0%,84.61,0,2.01,14333.0,moe_blk_co
80,4,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,42.422,moe_blk_stage1_bf16_d6144x256_e257k9_t16x64x128_w2.co,0.0%,22.149,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,0.0%,70.366,0,4.83,17234.91,moe_blk_co
80,8,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,88.901,moe_blk_stage1_bf16_d6144x256_e257k9_t32x64x128_w2.co,0.0%,52.5,moe_blk_stage2_bf16_d6144x256_e257k9_t32x256x128_w2.co,0.0%,127.933,0,5.31,9480.16,moe_blk_co
80,16,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,117.111,moe_blk_stage1_bf16_d6144x256_e257k9_t16x128x128_w2.co,0.0%,56.521,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,0.0%,214.992,0,6.32,5641.95,moe_blk_co
80,32,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,169.392,moe_blk_stage1_bf16_d6144x256_e257k9_t16x64x128_w2.co,0.0%,98.995,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,0.0%,317.629,0,8.56,3819.76,moe_blk_co
80,64,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,212.289,moe_blk_stage1_bf16_d6144x256_e257k9_t16x128x128_w2.co,0.0%,142.459,moe_blk_stage2_bf16_d6144x256_e257k9_t16x256x128_w2.co,0.0%,396.525,0,13.71,3061.24,moe_blk_co
80,128,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,335.216,moe_blk_stage1_bf16_d6144x256_e257k9_t32x64x128_w2.co,0.0%,216.878,moe_blk_stage2_bf16_d6144x256_e257k9_t32x256x128_w2.co,0.0%,563.138,0,19.31,2157.62,moe_blk_co
80,256,6144,256,257,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,311.344,moe_blk_stage1_bf16_d6144x256_e257k9_t32x64x128_w2.co,0.0%,227.495,moe_blk_stage2_bf16_d6144x256_e257k9_t32x256x128_w2.co,0.0%,575.928,0,37.75,2113.8,moe_blk_co
80,1,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,67.027,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x128x128_w2.co,0.0%,35.997,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x128x256_w2.co,0.0%,132.764,0,4.55,4549.41,moe_blk_co
80,2,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,112.419,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x128x128_w2.co,0.0%,49.574,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x128x128_w2.co,0.0%,182.19,0,6.63,3315.31,moe_blk_co
80,4,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,132.857,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x64x128_w2.co,0.0%,60.456,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x128x128_w2.co,0.0%,201.329,0,12.0,3000.33,moe_blk_co
80,8,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,135.189,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x64x128_w2.co,0.0%,60.663,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x128x128_w2.co,0.0%,221.877,0,21.78,2722.8,moe_blk_co
80,16,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,169.126,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2.co,0.0%,83.785,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x128x128_w2.co,0.0%,281.445,0,34.34,2147.04,moe_blk_co
80,32,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,172.185,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2.co,0.0%,85.587,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x128x128_w2.co,0.0%,290.456,0,66.54,2081.45,moe_blk_co
80,64,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,253.518,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2.co,0.0%,125.196,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x128x128_w2.co,0.0%,365.65,0,105.72,1655.02,moe_blk_co
80,128,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,373.683,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2.co,0.0%,190.234,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x128x128_w2.co,0.0%,642.59,0,120.31,943.59,moe_blk_co
80,256,6144,2048,16,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,32,0,665.746,moe_blk_stage1_bf16_d6144x2048_e16k8_t32x64x128_w2.co,0.0%,355.974,moe_blk_stage2_bf16_d6144x2048_e16k8_t32x128x128_w2.co,0.0%,1061.538,0,145.66,573.41,moe_blk_co
80,1,6144,2048,17,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,60.892,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,38.043,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,141.815,0,4.79,4525.24,moe_blk_co
80,2,6144,2048,17,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,105.008,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,49.73,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,194.944,0,6.97,3292.05,moe_blk_co
80,4,6144,2048,17,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,133.564,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x64x128_w2.co,0.0%,65.543,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,228.896,0,11.87,2803.9,moe_blk_co
80,8,6144,2048,17,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,135.217,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x64x128_w2.co,0.0%,65.915,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,234.43,0,23.19,2738.03,moe_blk_co
80,16,6144,2048,17,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,138.945,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x64x128_w2.co,0.0%,67.33,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,247.439,0,43.94,2594.67,moe_blk_co
80,32,6144,2048,17,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_1x128,1,0,16,0,195.198,moe_blk_stage1_bf16_d6144x2048_e17k9_t16x128x128_w2.co,0.0%,89.094,moe_blk_stage2_bf16_d6144x2048_e17k9_t16x256x128_w2.co,0.0%,322.605,0,67.4,1991.04,moe_blk_co
