stage,model_dim,inter_dim,expert,topk,tile_m,tile_n,tile_k,waves_per_eu,out_dtype,smooth_scale,wide_out,arch,co_name,kernel_name,kernarg_size,lds_bytes,workgroup_size,vgpr_count,sgpr_count
1,6144,256,256,8,16,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2.co,moe_gemm1_0,100,7168,256,92,62
1,6144,256,256,8,16,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t16x64x128_w2_smooth.co,moe_gemm1_0,100,7168,256,94,66
2,6144,256,256,8,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x256_e256k8_t16x128x128_w2.co,moe_gemm2_0,88,4224,256,64,50
2,6144,256,256,8,16,256,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x256_e256k8_t16x256x128_w2.co,moe_gemm2_0,88,8320,256,96,50
1,6144,256,256,8,32,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t32x64x128_w2.co,moe_gemm1_0,100,14336,256,122,66
1,6144,256,256,8,32,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t32x64x128_w2_smooth.co,moe_gemm1_0,100,14336,256,124,70
2,6144,256,256,8,32,256,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x256_e256k8_t32x256x128_w2.co,moe_gemm2_0,88,16640,256,126,52
1,6144,256,256,8,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t16x128x128_w2.co,moe_gemm1_0,100,7168,256,150,62
1,6144,256,256,8,16,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t16x128x128_w2_smooth.co,moe_gemm1_0,100,7168,256,150,66
1,6144,256,256,8,32,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t32x128x128_w2.co,moe_gemm1_0,100,14336,512,124,62
1,6144,256,256,8,32,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x256_e256k8_t32x128x128_w2_smooth.co,moe_gemm1_0,100,14336,512,126,66
1,6144,2048,16,8,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x128x128_w2.co,moe_gemm1_0,100,7168,256,150,62
1,6144,2048,16,8,16,128,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x128x128_w2_smooth.co,moe_gemm1_0,100,7168,256,150,66
2,6144,2048,16,8,16,128,256,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x128x256_w2.co,moe_gemm2_0,88,9216,256,146,66
2,6144,2048,16,8,16,128,128,2,bf16,0,0,gfx942,moe_blk_stage2_bf16_d6144x2048_e16k8_t16x128x128_w2.co,moe_gemm2_0,88,5120,256,92,66
1,6144,2048,16,8,16,64,128,2,bf16,0,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x64x128_w2.co,moe_gemm1_0,100,7168,256,92,62
1,6144,2048,16,8,16,64,128,2,bf16,1,0,gfx942,moe_blk_stage1_bf16_d6144x2048_e16k8_t16x64x128_w2_smooth.co,moe_gemm1_0,100,7168,256,94,66
